"Name","Address","City","State","ZIP/Postal","Phone","BusCode","BusOrRes","SolicitFlag","BusType","Last Name","First Name","Middle Initial","Suffix","Secondary Name","URL","Country"
"24 Hour Customer Service","","Yellowknife","NT","X1A","867-873-3687","262106","B","N","CUSTOMER SERVICE REPRESENTATIVE","","","","","","","CA"
"24 Hour Customer Service","4910 50 Ave","Yellowknife","NT","X1A","867-873-5891","29090","B","","BANKS","","","","","","","CA"
"5D Tax Services","","Yellowknife","NT","X1A","867-920-7798","10500","B","N","ACCOUNTING & TAX SERVICES","","","","","","","CA"
"5D Tax Services","4916 49 St","Yellowknife","NT","X1A","867-873-4722","122120","B","","TAX RETURN PREPARATION","","","","","","","CA"
"974124 N Wt Ltd","","Yellowknife","NT","X1A","867-873-4595","0","B","N","","","","","","","","CA"
"974124 N Wt Ltd","11 Horton Cres","Yellowknife","NT","X1A","867-873-3836","150090","B","","MINING DEVELOPMENT & EXPLORATION","","","","","","","CA"
"A & A Technical Services","","Yellowknife","NT","X1A","867-669-7022","83790","B","N","ENGINEERS CONSULTING","","","","","","","CA"
"A & A Technical Services","","Yellowknife","NT","X1A","867-669-7022","104400","B","N","GEOSYNTHETICS","","","","","","","CA"
"A & A Technical Services","","Yellowknife","NT","X1A","867-669-7077","265939","B","N","INFORMATION TECHNOLOGY SERVICES","","","","","","","CA"
"A & A Technical Services","","Yellowknife","NT","X1A","867-766-2410","265939","B","N","INFORMATION TECHNOLOGY SERVICES","","","","","","","CA"
"A & F Enterprises","","Inuvik","NT","X0E","867-777-3394","216940","B","N","SOCIAL & HUMAN SERVICES ORGANIZATIONS","","","","","","","CA"
"A & F Enterprises","26 Reliance St","Inuvik","NT","X0E","867-777-2042","0","B","","","","","","","","","CA"
"A & W","","Yellowknife","NT","X1A","867-669-7072","0","B","N","","","","","","","","CA"
"A & W","4905 50 Ave","Yellowknife","NT","X1A","867-669-7071","195251","B","","RESTAURANTS","","","","","","","CA"
"A & W","4905 50 Ave","Yellowknife","NT","X1A","867-669-7071","703870","B","","RESTAURANTS A & W","","","","","","","CA"
"A C D Roofing & Contractor","101 Jeske Cres","Yellowknife","NT","X1A","867-920-7952","198840","B","","ROOFING CONTRACTORS","","","","","","","CA"
"A C D Roofing & Contractor","101 Jeske Cres","Yellowknife","NT","X1A","867-920-7952","213600","B","","SIDING CONTRACTORS","","","","","","","CA"
"A C Taxi","","Wha Ti","NT","X0E","867-573-3241","109430","B","N","GROCERY STORES","","","","","","","CA"
"A C Taxi","PO Box 93","Wha Ti","NT","X0E","867-573-3055","45980","B","","CANDY & CONFECTIONERY","","","","","","","CA"
"A C Taxi","PO Box 93","Wha Ti","NT","X0E","867-573-3055","109430","B","","GROCERY STORES","","","","","","","CA"
"A C Taxi","PO Box 93","Wha Ti","NT","X0E","867-573-3055","229840","B","","TAXICABS & TRANSPORTATION SERVICE","","","","","","","CA"
"A D Williams Engineering Inc","","Yellowknife","NT","X1A","867-873-2547","83790","B","N","ENGINEERS CONSULTING","","","","","","","CA"
"A D Williams Engineering Inc","4903 47 St","Yellowknife","NT","X1A","867-873-2395","83390","B","","ENGINEERS CIVIL","","","","","","","CA"
"A D Williams Engineering Inc","4903 47 St","Yellowknife","NT","X1A","867-873-2395","83790","B","","ENGINEERS CONSULTING","","","","","","","CA"
"A D Williams Engineering Inc","4903 47 St","Yellowknife","NT","X1A","867-873-2395","83360","B","","ENGINEERS ELECTRICAL","","","","","","","CA"
"A D Williams Engineering Inc","4903 47 St","Yellowknife","NT","X1A","867-873-2395","83600","B","","ENGINEERS FOUNDATION","","","","","","","CA"
"A D Williams Engineering Inc","4903 47 St","Yellowknife","NT","X1A","867-873-2395","83520","B","","ENGINEERS MECHANICAL","","","","","","","CA"
"A D Williams Engineering Inc","4903 47 St","Yellowknife","NT","X1A","867-873-2395","83640","B","","ENGINEERS STRUCTURAL","","","","","","","CA"
"A J's Electrical","","Fort Smith","NT","X0E","867-872-2144","78890","B","N","ELECTRIC CONTRACTORS","","","","","","","CA"
"A Lennie's Electrical Ltd","","Inuvik","NT","X0E","867-678-2752","78890","B","N","ELECTRIC CONTRACTORS","","","","","","","CA"
"A Lennie's Electrical Ltd","PO Box 2118","Inuvik","NT","X0E","867-777-4870","78890","B","","ELECTRIC CONTRACTORS","","","","","","","CA"
"A Taste of Saigon","","Yellowknife","NT","X1A","867-873-9776","0","B","N","","","","","","","","CA"
