"Name","Address","City","State","ZIP/Postal","Phone","BusCode","BusOrRes","SolicitFlag","BusType","Last Name","First Name","Middle Initial","Suffix","Secondary Name","URL","Country"
"11 Miles Trek Ltd","","Coral Harbour","NU","X0C","867-925-8445","0","B","N","","","","","","","","CA"
"4624 Nunavut Ltd","","Iqaluit","NU","X0A","867-979-2448","56030","B","N","CO-OPERATIVE ORGANIZATIONS","","","","","","","CA"
"953731 Nwt Ltd","","Resolute","NU","X0A","867-252-3663","0","B","N","","","","","","","","CA"
"953731 Nwt Ltd","","Resolute","NU","X0A","867-252-3871","41230","B","N","BUILDERS & CONTRACTORS","","","","","","","CA"
"953731 Nwt Ltd","PO Box 300","Resolute","NU","X0A","867-252-3701","0","B","","","","","","","","","CA"
"953731 Nwt Ltd","PO Box 6","Resolute","NU","X0A","867-252-3057","0","B","","","","","","","","","CA"
"Aakuluk Day Care","","Iqaluit","NU","X0A","867-979-0945","0","B","N","","","","","","","","CA"
"Aakuluk Day Care","","Iqaluit","NU","X0A","867-979-7766","51451","B","N","CHILD CARE SERVICE","","","","","","","CA"
"Aarluk Consulting Inc","","Iqaluit","NU","X0A","867-979-2089","43190","B","N","BUSINESS CONSULTANTS & ADVISORS","","","","","","","CA"
"Aarluk Consulting Inc","","Iqaluit","NU","X0A","867-979-2089","58020","B","N","COMMUNICATION & PUBLIC RELATIONS CONSULTANTS","","","","","","","CA"
"Aarluk Consulting Inc","","Iqaluit","NU","X0A","867-979-2089","85740","B","N","ENVIRONMENTAL & ECOLOGICAL CONSULTANTS","","","","","","","CA"
"Aarluk Consulting Inc","","Iqaluit","NU","X0A","867-979-2089","141560","B","N","MANAGEMENT CONSULTANTS","","","","","","","CA"
"Aarluk Consulting Inc","","Iqaluit","NU","X0A","867-979-2091","43190","B","N","BUSINESS CONSULTANTS & ADVISORS","","","","","","","CA"
"Aarruja Development Corp","","Clyde River","NU","X0A","867-924-6151","0","B","N","","","","","","","","CA"
"Aarruja Store","","Clyde River","NU","X0A","867-924-6201","98641","B","N","FRUITS & VEGETABLES","","","","","","","CA"
"Aarruja Store","","Clyde River","NU","X0A","867-924-6201","109430","B","N","GROCERY STORES","","","","","","","CA"
"Aarruja Store","","Clyde River","NU","X0A","867-924-6282","0","B","N","","","","","","","","CA"
"Aboriginal Peoples","","Iqaluit","NU","X0A","867-979-1749","0","B","N","","","","","","","","CA"
"Aborigional Headstart Program","","Coral Harbour","NU","X0C","867-925-8142","112370","B","N","HEAD START CENTERS","","","","","","","CA"
"Aborigional Headstart Program","","Coral Harbour","NU","X0C","867-925-8144","112370","B","N","HEAD START CENTERS","","","","","","","CA"
"Accommodations by the Sea","","Iqaluit","NU","X0A","867-979-6074","0","B","N","","","","","","","","CA"
"Accommodations by the Sea","House 2536","Iqaluit","NU","X0A","867-979-0219","31960","B","","BED & BREAKFAST","","","","","","","CA"
"Accommodations by the Sea","House 2536","Iqaluit","NU","X0A","867-979-0219","152170","B","","MOTELS & HOTELS","","","","","","","CA"
"Accommodations by the Sea","House 2536","Iqaluit","NU","X0A","867-979-0219","237190","B","","TOURIST ACCOMMODATIONS","","","","","","","CA"
"Accutech Engineering North Inc","","Rankin Inlet","NU","X0C","867-645-2445","83080","B","N","ENGINEERS","","","","","","","CA"
"Accutech Engineering North Inc","","Rankin Inlet","NU","X0C","867-645-2456","0","B","N","","","","","","","","CA"
"Adlair Aviation Ltd","","Cambridge Bay","NU","X0B","867-983-2000","0","B","N","","","","","","","","CA"
"Adlair Aviation Ltd","","Cambridge Bay","NU","X0B","867-983-2247","0","B","N","","","","","","","","CA"
