"Name","Address","City","State","ZIP/Postal","Phone","BusCode","BusOrRes","SolicitFlag","BusType","Last Name","First Name","Middle Initial","Suffix","Secondary Name","URL","Country"
"1202 Motor Inn","Gd","Beaver Creek","YT","Y0B","867-862-7600","152170","B","N","MOTELS & HOTELS","","","","","","","CA"
"1202 Motor Inn","Gd","Beaver Creek","YT","Y0B","867-862-7600","195251","B","N","RESTAURANTS","","","","","","","CA"
"1202 Motor Inn","Gd","Beaver Creek","YT","Y0B","867-862-7601","0","B","N","","","","","","","","CA"
"1202 Motor Inn","Gd","Beaver Creek","YT","Y0B","867-862-7609","0","B","N","","","","","","","","CA"
"1399 Wood Products","Alaska Hwy","Tagish","YT","Y0B","867-399-7025","92590","B","","FIREWOOD","","","","","","","CA"
"15394 Yukon Inc","","Pelly Crossing","YT","Y0B","867-537-3317","0","B","N","","","","","","","","CA"
"15394 Yukon Inc","","Pelly Crossing","YT","Y0B","867-537-3447","0","B","N","","","","","","","","CA"
"2004 Canada Senior Games","1114 1st Ave","Whitehorse","YT","Y1A","867-667-2185","20670","B","","ASSOCIATIONS SOCIETIES & FOUNDATIONS","","","","","","","CA"
"202 Motor Inn","","Whitehorse","YT","Y1A","867-667-6154","152170","B","N","MOTELS & HOTELS","","","","","","","CA"
"202 Motor Inn","206 Jarvis St","Whitehorse","YT","Y1A","867-668-4567","152170","B","","MOTELS & HOTELS","","","","","","","CA"
"21433 Yukon Inc","","Whitehorse","YT","Y1A","867-456-4074","0","B","N","","","","","","","","CA"
"21433 Yukon Inc","","Whitehorse","YT","Y1A","867-667-6227","0","B","N","","","","","","","","CA"
"38 Famous Video","","Whitehorse","YT","Y1A","867-668-3149","0","B","N","","","","","","","","CA"
"38 Famous Video","95 Lewes Blvd","Whitehorse","YT","Y1A","867-668-2825","246740","B","","VIDEO GAMES","","","","","","","CA"
"38 Famous Video","95 Lewes Blvd","Whitehorse","YT","Y1A","867-668-2825","247320","B","","VIDEO TAPES & DISCS SALES & RENTALS","","","","","","","CA"
"4834 Yukon Ltd","2 Macdonald Rd","Whitehorse","YT","Y1A","867-633-5185","0","B","","","","","","","","","CA"
"4th Avenue Petro-Canada","","Whitehorse","YT","Y1A","867-633-2607","262454","B","N","OIL & GAS COMPANIES","","","","","","","CA"
